,Inside Transfer Window(days),,Outside Transfer Window(days),,Inside Deadline Day(hours),,,,,,
"offer in [min, guaranteed] %",min,max,min,max,min,max,,,,,
100,0,3,0,5,0,1,,,,,
80,1,4,5,8,1,2,,,,,
60,2,5,6,9,1,3,,,,,
40,3,6,6,10,2,4,,,,,
20,4,8,7,12,2,6,,,,,
0,5,10,8,14,3,6,,,,,
,,,,,,,,,,,
AI Club Seller Next Stalls Length,,,,,,,,,,,
Inside Transfer Window(days),,Outside Transfer Window(days),,Inside Deadline Day(hours),,,,,,,
min,max,min,max,min,max,,,,,,
1,3,3,6,1,2,,,,,,
,,,,,,,,,,,
AI Player Stall Lengths,,,,,,,,,,,
No FailCodes,,,,,,With FailCodes,,,,,
Inside Transfer Window(days),,Outside Transfer Window(days),,Inside Deadline Day(hours),Inside Transfer Window(days),,Outside Transfer Window(days),,Inside Deadline Day(hours),,
min,max,min,max,min,max,min,max,min,max,min,max
1,4,3,8,1,2,2,5,6,8,1,3
,,,,,,,,,,,
Player Score Difference,Inside Window Additional Days,Outside Window Additional Days,Deadline Day Additional Hours,,,,,,,,
-100,2,3,2,,,,,,,,
0,1,2,1,,,,,,,,
100,0,0,0,,,,,,,,
,,,,,,,,,,,
Club Loans,,,,,,,,,,,
Inside Transfer Window(days),,Outside Transfer Window(days),,Inside Deadline Day(hours),,,,,,,
min,max,min,max,min,max,,,,,,
1,5,6,9,1,3,,,,,,
